{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15610} 你也被赶出来了吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.465} 那她还能怎么办？我<i>害怕！</i>快告诉我最后会没事的！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14968} 豺狗们眼看就要把莉莉丝撕成碎片了，这时她唱起歌来……其中一只豺狗认出了那首歌！那正是莉莉丝以前哄奎奇睡觉时唱的摇篮曲。\n\n虽然他已经变成了豺狗，奎奇还是认出了自己的姐姐，慢慢靠近过来，贴住了她，还舔去她的眼泪。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15281} 孩子们！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1269} 对，正是。那个看不见的孩子的脚印从她身上脱落下来，自己继续穿过草原往前走。\n\n莉莉丝跟着那些脚印，来到巴瓦伊的巢穴。她走进去，等眼睛适应了黑暗，就看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19363} 熊？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16945} 地上也出现了熊的脚印。紧接着，一整群凶恶的野兽把莉莉丝团团围住！它们眼看就要把她撕碎了，这时她……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10835} 向它们发起一场<i>不死不休！</i>的决斗。对！上啊，莉莉丝！把它们全宰了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.6298} 你<i>确定？</i>那些熊数量可比她多。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5036} 可莉莉丝有枪。她把它们全打死了！<i>砰砰砰！</i>
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14736} 嗯……可那枪是哪儿来的？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.8171} 熊围住她的时候，她就在旁边一块石头底下捡到的！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25031} 那你可走运了。你看，大多数讲故事的人都知道“契诃夫之枪”。可很少有人听过它那个傻乎乎的兄弟：会平白无故从石头底下冒出来的那把枪。\n\n莉莉丝捡到的正是<i>这把</i>枪。她朝熊群一阵开火，直到只剩下两只。可那两只朝她扑过来时，她开不了枪，因为……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1939} 她没子弹了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31358} 那这趟旅程可就要以悲剧收场了！熊把她活活撕死，秃鹫再把她剩下的那点骨肉撒得满草原都是。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13369} 我不喜欢！这故事太糟糕了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29491} 可刚才明明是你自己说她子弹打光了！好吧，那咱们倒回去，算她子弹没打光。其实是别的事发生了：她望进其中一只熊的眼睛，然后……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14134} 认出了她爸爸！还有妈妈，她妈妈也在那儿！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15586} 她也变成熊了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30534} 这故事越来越胡扯了。她干吗要变成<i>熊？</i>恰恰相反，那只熊的眼睛她非常熟悉。那是她失踪已久的父亲的眼睛。于是，莉莉丝……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16550} 哭了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18740} 她哭了，因为她认出了被萨满变成熊的爸爸妈妈！爸爸妈妈也听出了她的哭声，便尽自己所能安慰她。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5227} 唱歌？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23666} 她因为认出了被萨满变成熊的爸爸妈妈而唱起歌来！她的爸爸妈妈也认出了那首歌，流着泪抱住了自己的女儿。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18707} 抱了那只熊？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18363} 她抱住了那只熊，咒术就被打破了。因为那只熊正是被施咒的父亲！她的母亲也在旁边，同样变成了熊。然后他们一起去了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5110} 她认出了爸爸妈妈！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20315} 对，她那对被施了咒的父母就在熊群里！她认出了他们，他们也认出了她。大家抱在一起，然后就去了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12625} ……去找巴瓦伊狠狠干他一顿！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25950} 回家！好耶！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.28795} 等等！奎奇还没救出来呢。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31305} 不用救！她也在那儿，大家一起回家就行了。我喜欢这个故事！太棒了！你肯定不是bokholdoi（博克霍尔多伊）！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16203} 哦！对哦！我全忘了！他们是去找巴瓦伊了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3454} 对。于是他们一起去找巴瓦伊藏身的巢穴。等他们走进去，眼睛适应了昏暗之后，就看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4653} 我怎么知道？这是<i>你的</i>故事！快想啊！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.28443} <i>孩子们……</i>行吧。她朝熊群开火，直到只剩下两只。可那两只朝她扑过来时，她开不了枪，因为……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31177} 那她还能怎么办？我<i>害怕！</i>快告诉我最后会没事的！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17278} 熊眼看就要把莉莉丝撕成碎片了，这时她唱起歌来……其中一只熊认出了那首歌！那正是她父母以前睡前唱给她听的摇篮曲。\n\n虽然莉莉丝的爸爸妈妈已经变成了熊，可他们还是认出了她，慢慢靠近过来，贴在她身边。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29604} 认出了爸爸妈妈！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12265} 对，正是这样！熊眼看就要把莉莉丝撕碎了，这时她唱起歌来……熊认出了那首歌！那是爸爸妈妈以前睡前唱给她听的摇篮曲。\n\n虽然莉莉丝的爸爸妈妈已经变成了熊，可他们还是认出了她，慢慢靠近过来，贴在她身边。然后他们一起……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23344} 发现它们是<i>好</i>熊！它们并没有生她的气！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10248} 嗯……好吧，也可以这么编。熊生气的对象不是莉莉丝，而是巴瓦伊。那个萨满一直在折磨所有动物，于是莉莉丝对它们提议……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32183} 联起手来！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1824} 没错。它们结成一伙，一起去对付巴瓦伊。他的巢穴就在附近。等它们走进去，就看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14331} 钱。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.11552} <i>什么？</i>你可真要把我气死了。熊要钱干什么？\n\n不对，她把奎奇被掳走的事告诉了它们，请它们帮忙。于是大家结成一伙，一起去对付巴瓦伊。他的巢穴就在附近。等它们走进去，就看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.6876} 整整一个月。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1433} 对，她在草原上走了整整一个月……忽然，刺青脚印开始浮现在她皮肤上！那些刺青像是在她身上跑来跑去。那是……的脚印。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.25788} 整整一年。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.984} 对，她在草原上走了整整一年……忽然，刺青脚印开始浮现在她皮肤上！那些刺青像是在她身上跑来跑去。那是……的脚印。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3775} 两千零二十五年！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.7788} 这就有点过头了。不过你要喜欢，也行。\n\n对，她在草原上走了两千零二十五年……忽然，刺青脚印开始浮现在她皮肤上！那些刺青像是在她身上跑来跑去。那是……的脚印。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21851} 孩子们！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.2906} 对，正是。那个看不见的孩子的脚印从她身上脱落下来，自己继续穿过草原往前走。\n\n莉莉丝跟着那些脚印，来到巴瓦伊的巢穴。她走进去，等眼睛适应了黑暗，就看见了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21011} 一大堆糖果和巧克力！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22671} 什么？<i>不！</i>不过你要真想这样，那也行……秘密就在于那些并不是真正的<i>巧克力</i>。萨满在用幻影戏弄莉莉丝，想把她引进去。可莉莉丝……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18524} 把糖果和巧克力全吃光了！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12493} 噗……对，莉莉丝不是特别聪明，所以没识破幻影。不过也别太怪她。其实她吃第一块时就尝出味道不对了。因为那是bokholdoi（博克霍尔多伊）做的，而它们根本不懂巧克力该是什么味道。\n\n她知道，故事才是bokholdoi（博克霍尔多伊）最害怕的东西！于是她开始给他讲一个故事：有个叫米什卡的小女孩，正在藏身处里和朋友们玩捉迷藏。可藏身处里的孩子们遇到了危险……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.14351} 拔剑把萨满捅穿！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18503} 噗……行吧，那就这么编。她不知为什么身上正好带着一把剑，于是把萨满一剑捅穿，可这没用。因为萨满是bokholdoi（博克霍尔多伊），普通的剑杀不死bokholdoi（博克霍尔多伊）。\n\n她想起，故事才是bokholdoi（博克霍尔多伊）最害怕的东西！于是她开始给他讲一个故事：有个叫米什卡的小女孩，正在藏身处里玩捉迷藏。可藏身处里的孩子们遇到了危险……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.2436} 给萨满讲了个童话！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31786} 你真行！我是说，<i>莉莉丝</i>可真聪明。她意识到萨满是个bokholdoi（博克霍尔多伊）。她知道，带着圆满结局的故事，正是bokholdoi（博克霍尔多伊）最害怕的东西！\n\n于是她开始给他讲一个故事：有个叫米什卡的小女孩，正在藏身处里和朋友们玩捉迷藏。可藏身处里的孩子们遇到了危险……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.504} 才不是呢！他们很安全！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.329} 你怎么知道？你我都只是莉莉丝讲给bokholdoi（博克霍尔多伊）听的故事里的人物，好让她杀死那东西，把奎奇救出来。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15555} 真的？莉莉丝给他讲了一个关于我的故事？哇！那现在<i>我</i>也在故事里啦？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23592} 对，正是。你我都只是莉莉丝讲给bokholdoi（博克霍尔多伊）听的故事里的人物，好让她杀死那东西，把奎奇救出来。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17869} <i>哇啊啊！</i>太厉害了！先生，你肯定不是bokholdoi（博克霍尔多伊）！bokholdoi（博克霍尔多伊）绝对想不出这种东西！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16776} 那么，你肯告诉我你们的藏身处在哪儿了吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29613} 我告诉你，先生！这故事太棒了！我得马上讲给小钉听。这样他就肯再让我跟大家一起玩了！\n\n我们的藏身处在工厂里。工厂在地图上看起来像只乌龟，我们的藏身处就在它左边那只鳍的正下方。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15996} 那离这儿不远。我这就过去看看……希望你朋友们还在那里。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.5616} 我刚才不久前才去过工厂，那里一个人也没有。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.23380} 我们当时在玩捉迷藏。现在不玩了，所以你一去就能看见他们。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.600} 捉迷藏……还不如叫“该死又见鬼”。行吧，我去看看。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9312} 一大群孩子！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.287} 没错。好多年来，萨满一直在绑走他们，让他们当自己的奴隶。他以童年为食，因为他是bokholdoi（博克霍尔多伊）。而只有莉莉丝能打败bokholdoi（博克霍尔多伊），因为……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29345} 因为她很会讲故事！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.7618} 她知道，故事才是bokholdoi（博克霍尔多伊）最害怕的东西！于是她开始给他讲一个故事：有个叫米什卡的小女孩，正在藏身处里和朋友们玩捉迷藏。可藏身处里的孩子们遇到了危险……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30885} 因为她有枪！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31942} 对，我看你根本没在听我讲。她没有武器，当然，脑子很快除外！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21291} 她那把像剑一样锋利的脑子！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10879} 真无聊。她为什么就不能有枪？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.7988} 你可真难伺候，是不是？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.31363} 她为什么就不能有枪？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16092} 行吧，你非要枪，那就给她一把枪。她拔出左轮，腰间甩手一开，二百发子弹全打进了萨满胸口，枪枪不落空。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9849} 这是全世界最酷的故事。我喜欢莉莉丝！我也想像她那样。我也得有把枪。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4253} 那么，你现在信了吧，我不是bokholdoi（博克霍尔多伊）？你肯告诉我你们的藏身处在哪儿了吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4647} 相信我，你不需要枪。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.16238} 人人都需要一把枪，小钉就是这么说的。我得马上把这个故事讲给他听！这样他就肯再让我跟大家一起玩了。藏身处其实就在附近……就在河岸边。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32654} 要是我给你一把枪，你肯告诉我你们藏身处在哪儿吗？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.27670} 熊说孩子不该有枪。不过也许你可以去跟他说说……说不定他就肯让我拿你的枪了？他现在就在藏身处。那地方很近，就在河岸边。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.6035} 因为这是我的故事……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30688} 这也是我们的故事！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22096} 在我的故事里，莉莉丝也是用故事打败他的。她开始给他讲一个故事：有个叫米什卡的小女孩，正在藏身处里和朋友们玩捉迷藏。可藏身处里的孩子们遇到了危险……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.20735} 奎奇！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13251} 对，萨满把奎奇变成了自己的仆人。那个男孩就坐在地上，正拿一对齿轮拼一个钟表。萨满正吸食着他的痛苦！而只有莉莉丝能打败萨满，因为……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22683} 你又忘了奎奇是女孩！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.22231} 啊对，<i>该死，</i>不好意思。那个女孩就坐在地上，正拿一对齿轮拼一个钟表。萨满正吸食着她的痛苦！而只有莉莉丝能打败萨满，因为……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4663} 给他脑袋来一下？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3048} 嗯，医生对付孩子的办法是有点特别……但还真管用！\n\n那一敲让莉莉丝全身突然爬满了会动的刺青。她肚子上浮出一张草原地图，于是莉莉丝踏上了寻找奎奇的旅程。她在草原上走了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32114} 褐色 twyre（特维草）！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1733} 没错。医生给了她一株魔法药草。莉莉丝把它吃了下去，忽然之间，会动的刺青就爬满了她全身！\n\n她肚子上浮出一张草原地图，于是莉莉丝踏上了寻找奎奇的旅程。她在草原上走了……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10485} 米哈伊尔·马雅可夫斯基！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29915} 刻薄鬼·刻薄斯基？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9622} 奥尔芬·奥利夫科夫斯基。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.29676} 骷髅。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.923} 差不多。他给大家看他那些会动的魔法刺青。黑骷髅在他胸口咔哒咔哒地磨牙。蛇在他皮肤上蜿蜒爬动……从肩膀爬到脖子，又绕满整个脑袋！还有黑公牛在他多毛的背上吃草。\n\n但这还不算完。奎奇凑近去看萨满胸口的一处刺青时，他看见那上面竟然是……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30680} 裤衩！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.11265} 你想象力可真够丰富的。不，巴瓦伊给大家看他那些会动的魔法刺青。黑骷髅在他胸口咔哒咔哒地磨牙。蛇在他肩上、脖子上，还有整个脑袋周围蜿蜒爬动。黑公牛则在他多毛的背上吃草！\n\n但这还不算完。奎奇凑近去看萨满胸口的一处刺青时，她看见那上面竟然是……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21353} 松鸦和小钉。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9914} 游荡鬼和急匆匆。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3014} 好，那就来吧。你是说莉莉丝和奎奇？从前……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.9632} 在草原上的一座古老小镇里，住着一对姐弟：莉莉丝和奎奇。他们还有两个朋友，名字叫……
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.21886} 啊，对，我想起来了。是莉莉丝和奎奇的故事，对吧？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.444} 对！我想知道莉莉丝和奎奇后来怎么样了！你不讲，你就是bokholdoi（博克霍尔多伊）！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.17196} 可我是好人啊。两天前是谁把你从水塔上救下来的？嗯？这么快就把救命恩人忘了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3538} 那可说不准。说不定你就是那什么来着，bokholdoi（博克霍尔多伊）。披着大人的皮，到处走来走去，就跟穿了件外套一样！我怎么知道？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.24533} 就我自己所知，我既不是麻烦，不是疾病，也不是坏人。那为什么不准我进你们的藏身处？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.4558} 熊？那又是谁？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30824} 我们的新医生。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.19497} 对，布拉克。人倒真像头熊。不过先不说这个，你们的藏身处在哪儿？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.24638} 太好了，你在这儿。其他人呢？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.3037} 什么其他人？这里只有我一个。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.26736} 这我看得出来。可大家都在到处找你。你怎么会一下子就不见了？
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.15036} 我们没不见。我们都在藏身处呢。就是小钉把我赶出来了。他说我偷看，可我根本没有！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32472} 小钉、鼩鼱，还有另一个女孩，名字我记不清了……哦，松鸦。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.1862} 我不跟他们玩了。小钉把我从藏身处里赶出来了。他说我偷看，可我根本没有！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.12619} 你知道现在有半个城的人都在找你吗？还有你的朋友们。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.7409} 哇！<i>半个</i>城的人都在跟我们一起玩捉迷藏吗？我得去告诉松鸦……她肯定会吓一跳！
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.30493} 你真要把我逼疯了……听着，根本没人跟你们玩捉迷藏。大家是担心你们出了<i>坏</i>事。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.32570} 坏事<i>已经</i>发生了呀！我们本来在玩捉迷藏，小钉却把我赶出来了！他说我偷看，可我没有！现在他们都不带我玩了。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.13377} 要不要我去跟他说说？告诉我小钉在哪儿，我这就去告诉他，你没有偷看。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.18365} 我自己去告诉她……只要你先告诉我松鸦在哪儿。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.10906} 你在这儿坐很久了吗？我刚才不久前路过的时候，你还不在这儿。
{Dialogs2.Days.Day6.Day6_Q2_Kidnapping.Day6_Q2_Mishka_Friends.28777} 你刚才也在跟我们一起玩捉迷藏吗？我都不知道！不过我现在不玩了，因为小钉把我从藏身处里赶出来了。他说我偷看。可我真的没有，我发誓！
